iter	Passed	Remaining
0	41	41408
1	96	48322
2	146	48812
3	188	46859
4	211	42072
5	244	40518
6	268	38084
7	301	37330
8	341	37574
9	379	37529
10	415	37385
11	452	37280
12	489	37155
13	527	37141
14	566	37199
15	606	37308
16	648	37484
17	689	37623
18	717	37064
19	755	36996
20	795	37077
21	836	37201
22	875	37193
23	913	37140
24	943	36797
25	966	36202
26	1003	36164
27	1023	35527
28	1054	35307
29	1084	35070
30	1132	35406
31	1171	35452
32	1215	35615
33	1266	35976
34	1309	36103
35	1348	36110
36	1387	36115
37	1427	36128
38	1468	36184
39	1503	36072
40	1539	36020
41	1575	35946
42	1610	35849
43	1644	35736
44	1683	35722
45	1718	35644
46	1755	35587
47	1789	35497
48	1826	35441
49	1865	35441
50	1901	35380
51	1935	35283
52	1972	35246
53	2007	35165
54	2043	35110
55	2081	35086
56	2117	35038
57	2132	34627
58	2159	34436
59	2185	34242
60	2204	33939
61	2231	33755
62	2271	33778
63	2306	33733
64	2343	33714
65	2378	33653
66	2415	33638
67	2452	33610
68	2490	33599
69	2526	33570
70	2561	33513
71	2599	33500
72	2634	33453
73	2668	33390
74	2703	33339
75	2741	33326
76	2773	33242
77	2807	33188
78	2843	33148
79	2879	33116
80	2912	33047
81	2948	33009
82	2985	32981
83	3024	32981
84	3059	32937
85	3096	32910
86	3133	32882
87	3168	32840
88	3207	32826
89	3245	32814
90	3282	32789
91	3319	32759
92	3356	32735
93	3391	32691
94	3428	32661
95	3465	32637
96	3502	32608
97	3539	32576
98	3575	32539
99	3611	32502
100	3648	32472
101	3684	32435
102	3720	32402
103	3757	32374
104	3793	32336
105	3832	32321
106	3869	32295
107	3907	32269
108	3943	32236
109	3982	32225
110	4019	32189
111	4054	32150
112	4092	32121
113	4130	32098
114	4169	32087
115	4206	32052
116	4245	32039
117	4280	31996
118	4319	31980
119	4357	31953
120	4391	31902
121	4427	31864
122	4466	31844
123	4501	31803
124	4539	31778
125	4577	31749
126	4626	31805
127	4675	31848
128	4725	31903
129	4762	31870
130	4799	31836
131	4838	31817
132	4875	31784
133	4913	31754
134	4949	31714
135	4986	31675
136	5022	31637
137	5064	31636
138	5102	31606
139	5140	31578
140	5178	31546
141	5216	31521
142	5254	31490
143	5293	31465
144	5330	31434
145	5368	31401
146	5406	31370
147	5444	31342
148	5484	31323
149	5523	31300
150	5561	31271
151	5598	31235
152	5635	31200
153	5672	31161
154	5708	31119
155	5743	31075
156	5781	31045
157	5816	30994
158	5852	30956
159	5889	30921
160	5930	30903
161	5967	30867
162	6003	30828
163	6039	30784
164	6074	30742
165	6111	30705
166	6147	30665
167	6183	30622
168	6219	30583
169	6254	30536
170	6292	30505
171	6332	30482
172	6372	30463
173	6410	30430
174	6449	30404
175	6485	30365
176	6522	30326
177	6558	30286
178	6596	30253
179	6633	30217
180	6669	30178
181	6707	30147
182	6745	30112
183	6780	30071
184	6819	30044
185	6854	29997
186	6890	29957
187	6928	29925
188	6964	29882
189	7001	29846
190	7039	29815
191	7078	29788
192	7115	29752
193	7155	29727
194	7191	29687
195	7229	29653
196	7262	29604
